cdabr,hg,dg,pst
br,17:01:11,30/10/2022,0.12
AC,14:24:29,30/10/2022,0
AL,14:24:25,30/10/2022,0
AP,14:24:26,30/10/2022,0
AM,14:24:26,30/10/2022,0
BA,14:24:34,30/10/2022,0
CE,14:24:21,30/10/2022,0
DF,14:24:23,30/10/2022,0
ES,14:24:12,30/10/2022,0
GO,14:24:00,30/10/2022,0
MA,14:24:23,30/10/2022,0
MT,14:24:10,30/10/2022,0
MS,14:24:12,30/10/2022,0
MG,14:24:14,30/10/2022,0
PA,14:24:01,30/10/2022,0
PB,14:24:02,30/10/2022,0
PR,14:24:09,30/10/2022,0
PE,14:24:02,30/10/2022,0
PI,14:24:08,30/10/2022,0
RJ,14:24:32,30/10/2022,0
RN,14:24:33,30/10/2022,0
RS,14:24:35,30/10/2022,0
RO,14:24:33,30/10/2022,0
RR,14:24:35,30/10/2022,0
SC,14:24:31,30/10/2022,0
SP,14:24:21,30/10/2022,0
SE,14:24:31,30/10/2022,0
TO,14:24:23,30/10/2022,0
