pvap,vap,nm,sqcand
50.9,60341333,LULA,280001607829
70.3,287695,JAIR BOLSONARO,280001618036
58.68,976831,LULA,280001607829
51.39,200313,JAIR BOLSONARO,280001618036
51.09,1004420,LULA,280001607829
72.12,6097815,LULA,280001607829
69.97,3807891,LULA,280001607829
58.81,1041331,JAIR BOLSONARO,280001618036
58.04,1282145,JAIR BOLSONARO,280001618036
58.71,2193041,JAIR BOLSONARO,280001618036
71.13,2668140,LULA,280001607829
65.08,1216730,JAIR BOLSONARO,280001618036
59.49,880606,JAIR BOLSONARO,280001618036
50.2,6190960,LULA,280001607829
54.75,2508777,LULA,280001607829
66.62,1601953,LULA,280001607829
62.4,4159343,JAIR BOLSONARO,280001618036
66.93,3640933,LULA,280001607829
76.85,1550405,LULA,280001607829
56.53,5403894,JAIR BOLSONARO,280001618036
65.1,1326785,LULA,280001607829
56.35,3733185,JAIR BOLSONARO,280001618036
70.66,633236,JAIR BOLSONARO,280001618036
76.08,213518,JAIR BOLSONARO,280001618036
69.27,3047630,JAIR BOLSONARO,280001618036
55.24,14216587,JAIR BOLSONARO,280001618036
67.21,862951,LULA,280001607829
51.36,434593,LULA,280001607829
