pvap,vap,nm,sqcand
48.27,33077900,CANDIDATO 9997,280008314456
50.76,117539,CANDIDATO 9997,280008314456
49.75,470459,CANDIDATO 9997,280008314456
50.83,113079,CANDIDATO 9997,280008314456
50.59,534785,CANDIDATO 9997,280008314456
50.15,2120509,CANDIDATO 9997,280008314456
50.43,1379339,CANDIDATO 9997,280008314456
50.56,853899,CANDIDATO 9997,280008314456
49.14,597273,CANDIDATO 9997,280008314456
12.69,450350,CANDIDATO 9997,280008314456
50.26,972664,CANDIDATO 9997,280008314456
50.04,509231,CANDIDATO 9997,280008314456
50.34,438748,CANDIDATO 9997,280008314456
49.97,3350524,CANDIDATO 9997,280008314456
49.83,1194616,CANDIDATO 9997,280008314456
50.56,1181102,CANDIDATO 9997,280008314456
50.47,1906645,CANDIDATO 9997,280008314456
50.08,1414481,CANDIDATO 9997,280008314456
50.29,528625,CANDIDATO 9997,280008314456
49.98,2689895,CANDIDATO 9997,280008314456
49.9,525517,CANDIDATO 9997,280008314456
50.07,1782750,CANDIDATO 9997,280008314456
58,518937,CANDIDATO 9997,280008314456
48.46,71417,CANDIDATO 9997,280008314456
49.79,1192598,CANDIDATO 9997,280008314456
50.09,7497270,CANDIDATO 9997,280008314456
49.92,328952,CANDIDATO 9997,280008314456
50.14,232353,CANDIDATO 9997,280008314456
