Hora_Atualizacao,Result_%,Nome_Cand
18:12:36,50.75,JAIR BOLSONARO
18:12:36,49.25,LULA
18:13:42,50.73,JAIR BOLSONARO
18:13:42,49.27,LULA
18:19:05,50.58,JAIR BOLSONARO
18:19:05,49.42,LULA
18:24:20,50.39,JAIR BOLSONARO
18:24:20,49.61,LULA
18:27:48,50.3,JAIR BOLSONARO
18:27:48,49.7,LULA
18:28:56,50.26,JAIR BOLSONARO
18:28:56,49.74,LULA
18:34:20,50.15,JAIR BOLSONARO
18:34:20,49.85,LULA
18:37:45,50.1,JAIR BOLSONARO
18:37:45,49.9,LULA
18:38:50,50.08,JAIR BOLSONARO
18:38:50,49.92,LULA
18:41:04,50.06,JAIR BOLSONARO
18:41:04,49.94,LULA
18:44:17,50.01,LULA
18:44:17,49.99,JAIR BOLSONARO
18:57:44,50.32,LULA
18:57:44,49.68,JAIR BOLSONARO
19:01:03,50.4,LULA
19:01:03,49.6,JAIR BOLSONARO
19:04:08,50.46,LULA
19:04:08,49.54,JAIR BOLSONARO
19:07:37,50.51,LULA
19:07:37,49.49,JAIR BOLSONARO
19:11:53,50.56,LULA
19:11:53,49.44,JAIR BOLSONARO
19:15:19,50.59,LULA
19:15:19,49.41,JAIR BOLSONARO
19:18:45,50.62,LULA
19:18:45,49.38,JAIR BOLSONARO
19:21:52,50.64,LULA
19:21:52,49.36,JAIR BOLSONARO
19:25:13,50.66,LULA
19:25:13,49.34,JAIR BOLSONARO
19:29:26,50.71,LULA
19:29:26,49.29,JAIR BOLSONARO
19:32:39,50.73,LULA
19:32:39,49.27,JAIR BOLSONARO
19:35:56,50.74,LULA
19:35:56,49.26,JAIR BOLSONARO
21:56:36,50.9,LULA
21:56:36,49.1,JAIR BOLSONARO
